url_hash,url,title,truth
ce4ae9d7642ceadd61b3fb0e01a9e32c,http://www.nfib-sbet.org/,National Federation of Independent Business,1
54f8a3a6a6bbe01c3aa288d17f9ebce4,http://www.cq.com/doc/newsmakertranscripts-4942265?3,comments in Fayetteville NC,1
f57d81f179144643325067d062910775,https://web.archive.org/web/20080204072132/http://www.rockymountainnews.com:80/news/2008/feb/02/romney-tells-denver-crowd-he-can-salvage-economy/,"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",1
7c7123325613c6940c87f6b18618ebac,https://web.archive.org/web/20110811143753/http://www.dems.gov/press/democratic-leaders-say-house-democrats-are-united-against-gop-default-act,Democratic Leaders Say House Democrats Are United Against GOP Default Act,1
7ebe6d987852d2a79a0969a68b637cf1,https://web.archive.org/web/20070820164107/http://www.whitehouse.gov/omb/budget/fy2008/outlook.html,"Budget of the United States Government, FY 2008",1
5bee3c0216d77be57a79cdee51cf8646,http://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,Donald Trump exaggerates when he says China has 'total control' over North Korea,1
a5bd8ff18212dcee1b6cb3aeac9fed8e,https://www.law.cornell.edu/constitution/amendmentxxv,25th Amendment,1
e2ce5f3099e358cc8a8655dd7ad003e3,http://americaneedsmitt.com/blog/2011/11/10/mit-romney-stage/,子供たちのコト。私のコト。,1
c4695b64136b73fa1f8fa8cf887bdf5e,https://web.archive.org/web/20090913221204/http://www.whitehouse.gov:80/the_press_office/Briefing-by-White-House-Press-Secretary-Robert-Gibbs-9/10/09,"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",1
784bb4ee6470547933008b2f34a2cea5,https://web.archive.org/web/20080623122709/http://www.sciam.com/article.cfm?id=a-solar-grand-plan,A Solar Grand Plan: Scientific American,1
a02f23515615ed3ac53b29855d5bdb22,http://www.commonwealthfund.org/Publications/Issue-Briefs/2013/Aug/Covering-Young-Adults-Under-the-Affordable-Care-Act.aspx,Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,1
b54bb15216a638cc03f83868f5c9cb22,http://www.cbsnews.com/blogs/2010/02/23/politics/politicalhotsheet/entry6235624.shtml%27,"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",1
73fa4403129e31ce7ad0a7aec88c68b1,http://politicaladarchive.org/ad/polad_donaldtrump_k1mkc/,Political TV Ad Archive » PolAd,1
0a7b7ebbeab083bc1a408be8d2732bf6,http://data.bls.gov/timeseries/CES0500000001?output_view=net_1mth,Bureau of Labor Statistics Data,1
9bf8b742c5c69efddacb89fb4ac158e6,http://www.kff.org/healthreform/upload/8061.pdf,Summary of the Affordable Care Act,1
be1ea811d114a251b860e24c679516fb,http://abcnews.go.com/ThisWeek/week-transcript-holder-giuliani/story?id=10596448&page=4,'This Week' Transcript: Holder and Giuliani,1
6c4cfca62d34f689771e132b8efb3b84,http://www.nbcnews.com/politics/first-read/impeachment-talk-becomes-cynical-game-n168436,Impeachment Talk Becomes a Cynical Game,1
ca1672aacf0f5bac2eccb588195136c1,http://www.cdc.gov/flu/protect/habits.htm?s_cid=swineFlu_outbreak_003,Preventing the Flu: Good Health Habits Can Help Stop Germs,1
f03f07bde549278508b27b2b94f8176a,https://youtu.be/EiZW41bVF9I,Las Vegas campaign rally,1
618c6ac46e5b61a3264e026254dafe09,https://web.archive.org/web/20080506120114/http://pol.moveon.org:80/mccain10/email.html?,MoveOn.org Political Action: 10 things to know about McCain,1
684d53638b52631ae2e922ca836c1f6c,https://www.youtube.com/watch?v=AtJWEAj1vZM,Rand Paul Campaigns in Iowa for Miller-Meeks,1
f45fd0f07bd11841b3bc28a7ae4a7120,https://www.stlouisfed.org/~/media/Files/PDFs/publications/pub_assets/pdf/itb/2014/In%20the%20Balance%20June%20issue%208.pdf,Hispanic Populations Share of Wealth Likely to Increase by 2025,1
b56dd7f2cca9ecf8b1e07f52c62c3648,http://www.politifact.com/truth-o-meter/statements/2016/mar/15/hillary-clinton/hillary-clinton-says-guns-exceed-next-nine-categor/,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,1
110d925d221ba32cf4b37c0195d2d446,http://www.epi.org/blog/lost-decade-working-age-household-income/,Already a lost decade: Working-age household income down more than 10% since 2000,1
52f086f9ac1cdc943f684ba21ff3388c,http://www.senate.gov/pagelayout/reference/nominations/Nominations.htm,U.S. Senate: Supreme Court Nominations: present-1789,1
c4e164ef2020a96cc1a95ae75c555283,https://medium.com/@PolitiFact/politifacts-annotated-transcript-of-the-second-presidential-debate-b54f45edeb99#.8csw9x616,PolitiFact’s annotated transcript of the second presidential debate,1
74b70fb55cd4a3ba34788750f9707d31,http://www.desmoinesregister.com/article/20100324/OPINION01/3250323/1036,Des Moines Register,1
b6c4c4831d62748250e2ae5d865b2cd1,https://web.archive.org/web/20100523071827/http://www.nbc.com:80/the-tonight-show/video/thursday-may-20-2010/1229565/,The Tonight Show with Jay Leno,1
53c268d5cb92a4fe17a13518cecb2785,http://abcnews.go.com/ThisWeek/week-transcript-pelosi-gates/story?id=11298444&page=3,'This Week' Transcript: Pelosi and Gates,1
7e509099bf92f54ca3c059fec1962f24,https://web.archive.org/web/20161007194921/https://www.dni.gov/index.php/newsroom/press-releases/215-press-releases-2016/1423-joint-dhs-odni-election-security-statement,Joint DHS and ODNI Election Security Statement,1
0c589855e8f5b1286f2bfa91e2c1e8fa,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00126,U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,1
2e07869f3684e5524cce35c143d6083f,http://www.youtube.com/watch?v=wyoZJUKL3wA&feature=youtu.be,Palin-Huey,1
c9c4c25fc0eac92868d12920fe7649f8,http://www.bls.gov/ces/,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",1
789dbd6415ad87630d83f4c7b25373b6,http://www.nytimes.com/2011/07/11/opinion/11krugman.html?ref=opinion,"No, We Can’t? Or Won’t?",1
f2d4704a14a430d7cccc2de7bd20a782,http://www.nytimes.com/2008/06/03/us/politics/03text-obama.html?_r=1&oref=slogin,Barack Obama’s Remarks in St. Paul,1
1cb4c21b5ec466c0161e4712cec80b58,https://democrats-oversight.house.gov/sites/democrats.oversight.house.gov/files/documents/DIA%20to%20OGR%20unclassified%20cover%20letter.pdf,letter to Chaffetz and Cummings,1
2f337ca8199c380116eb6900e08ee993,http://www.politico.com/arena/perm/John_Lewis_C42BBD6A-7821-4081-9870-082C08FF364E.html,The Arena - Politico's daily debate with policymakers and opinion shapers,1
cc1b15b472147aa579e1ba79d946d1f4,https://web.archive.org/web/20091229194623/http://www.bobmcdonnell.com/index.php/press_releases/details/mcdonnell_letter_urges_no_delay_in_virginia_offshore_energy_exploration_and/,McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,1
7b07904936256093f9e25f2af6e7aebc,https://medium.com/hillary-for-america/to-young-people-who-are-undocumented-this-is-your-country-too-e0184e858b40#.2uv6onq62,"To young people who are undocumented: This is your country, too.",1
2645442e35ac530e81b7f86a0b45d3c9,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Transcript of AP interview with Trump,1
b564150d6fa61b46422722ee035bd40e,https://web.archive.org/web/20080618171108/http://www.barackobama.com:80/2008/06/15/remarks_of_senator_barack_obam_78.php,Change We Can Believe In,1
43ef46d701eb40e7d37c2d56462249df,https://web.archive.org/web/20070321075045/http://www.asce.org:80/reportcard/2005/actionplan07.cfm,Infrastructure Report Card 2005,1
0e447a62ca6d2532abf115bda1ad30db,http://blogs.rollcall.com/218/immigration-news-congress-changes-to-trafficking-law/?dcz=,"GOP Task Force, Lone Democrat Eye Trafficking Law",1
