URLs,Label
http://www.bbc.com/news/world-us-canada-41419190,1
https://www.reuters.com/article/us-filmfestival-london-lastflagflying/linklaters-war-veteran-comedy-speaks-to-modern-america-says-star-idUSKBN1CD0X2,1
https://www.nytimes.com/2017/10/09/us/politics/corkers-blast-at-trump-has-other-republicans-nodding-in-agreement.html?rref=collection%2Fsectioncollection%2Fpolitics,1
https://www.reuters.com/article/us-mexico-oil-cardenas/egypts-cheiron-wins-tie-up-with-pemex-for-mexican-onshore-oil-field-idUSKBN1C92EU,1
http://www.cnn.com/videos/cnnmoney/2017/10/08/snl-jason-aldean-las-vegas-tom-petty-orig.cnn/video/playlists/cant-miss/,1
http://beforeitsnews.com/sports/2017/09/jetnation-fanduel-league-week-4-2701323.html,0
https://www.nytimes.com/2017/10/10/us/politics/kansas-tried-a-tax-plan-similar-to-trumps-it-failed.html?rref=collection%2Fsectioncollection%2Fpolitics,1
https://www.reuters.com/article/us-india-cenbank-patel/india-rbi-chief-growth-important-but-not-at-cost-of-inflation-newspaper-idUSKBN1CE09J,1
https://www.reuters.com/article/us-climatechange-usa-epa/u-s-epa-chief-says-to-sign-proposed-rule-on-clean-power-plan-withdrawal-on-tuesday-idUSKBN1CE1RV,1
https://www.reuters.com/article/us-air-berlin-easyjet/talks-on-sale-of-air-berlin-planes-to-easyjet-at-risk-of-collapse-report-idUSKBN1CD0YW,1
https://www.activistpost.com/2017/09/u-s-president-donald-trump-quietly-signs-law-allow-warrant-less-searches-parts-va-dc-md.html,0
http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-team-defense-rankings-week-5-2701900.html,0
http://beforeitsnews.com/sports/2017/09/just-shut-up-play-some-damn-baseball-2701059.html,0
https://www.reuters.com/article/us-deloitte-cyber/deloitte-cyber-attack-affected-up-to-350-clients-guardian-idUSKBN1CF29M,1
http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html,0
https://www.nytimes.com/2017/10/04/us/las-vegas-shooting.html,1
https://www.nytimes.com/2017/10/04/us/marilou-danley-stephen-paddock.html,1
https://www.nytimes.com/video/us/politics/100000005485677/trumps-immigration-rhetoric-echoes-90s.html?rref=collection%2Fsectioncollection%2Fpolitics,1
http://beforeitsnews.com/u-s-politics/2017/10/trump-bemoans-little-appreciation-as-san-juan-mayor-begs-for-water-2537595.html,0
http://beforeitsnews.com/u-s-politics/2017/10/in-meeting-with-military-trump-talks-of-calm-before-the-storm-2537421.html,0
http://beforeitsnews.com/u-s-politics/2017/10/teacher-sparks-outrage-by-asking-kids-to-make-nazi-mascots-2537450.html,0
http://beforeitsnews.com/sports/2017/09/928-through-the-40s-the-gloaming-hbd-bill-lou-cy-the-third-everett-cy-leon-buck-clarke-honoredtiny-2-hitter-2701370.html,0
https://www.reuters.com/article/us-people-harvey-weinstein/weinstein-co-board-ousts-harvey-weinstein-after-harassment-allegations-idUSKBN1CE00B,1
http://beforeitsnews.com/u-s-politics/2017/09/hillary-clinton-suggests-that-trump-may-order-the-murder-of-journalists-2536870.html,0
http://beforeitsnews.com/sports/2017/09/929-through-the-40s-hbd-cannonball-paul-camnitz-clan-game-stories-2701470.html,0
https://www.reuters.com/article/us-tennis-tianjin/sharapova-storms-into-tianjin-quarter-finals-idUSKBN1CH1H9,1
http://beforeitsnews.com/sports/2017/10/103-expo-park-forbes-field-era-pirates-grays-ws-win-game-stories-2701784.html,0
http://www.cnn.com/videos/us/2017/10/12/harvey-weinstein-scandal-no-surprise-kaye-pkg-ac.cnn,1
http://beforeitsnews.com/sports/2017/09/blackhawks-roster-breakdown-goalies-2701437.html,0
https://www.nytimes.com/2017/10/06/sports/soccer/usmnt-panama-world-cup-qualifying.html?rref=collection%2Fsectioncollection%2Fsports,1
http://beforeitsnews.com/sports/2017/10/cyclebar-westgate-west-hosts-benefit-cycle-ride-to-help-fragile-bone-disease-foundation-on-oct-7-2701768.html,0
http://www.cnn.com/videos/cnnmoney/2017/10/03/late-night-kimmel-noah-colbert-meyers-las-vegas-shooting-ekr-orig.cnn/video/playlists/cant-miss/,1
https://www.reuters.com/article/us-britain-eu-rabobank/hard-brexit-seen-dire-for-dutch-but-far-worse-for-brits-rabobank-idUSKBN1CH0XI,1
https://www.reuters.com/article/us-storm-nate/weakening-nate-brings-rain-tornado-warnings-to-u-s-south-idUSKBN1CA1DD,1
https://www.activistpost.com/2017/10/pa-attorney-general-concerned-equifax-cyberattack-will-us-attorneys-general-upset-utility-smart-meters-hacking.html,0
http://www.cnn.com/2017/10/09/politics/melania-trump-ivana-trump-first-lady/index.html,1
https://www.nytimes.com/2017/10/06/us/politics/trump-sanctions-sudan.html?rref=collection%2Fsectioncollection%2Fpolitics,1
https://www.reuters.com/article/us-usa-puertorico-mexico/mexico-plans-aid-for-puerto-rico-after-hurricane-maria-idUSKBN1C925G,1
http://beforeitsnews.com/sports/2017/10/101-expo-park-forbes-field-era-deacon-whips-cy-in-1st-ws-game-waners-237-hits-boss-man-roberto-more-2701623.html,0
http://www.bbc.com/news/world-asia-india-41578210,1
https://www.activistpost.com/2017/10/google-clips-automatically-identifies-everyone-including-pets.html,0
http://beforeitsnews.com/sports/2017/09/2017-fantasy-football-kicker-rankings-week-4-2701252.html,0
http://beforeitsnews.com/sports/2017/10/a-problem-for-the-wild-card-game-sanchez-2701709.html,0
http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-running-back-rankings-week-5-2701799.html,0
http://beforeitsnews.com/u-s-politics/2017/09/what-would-happen-to-you-in-the-microwave-2536907.html,0
http://beforeitsnews.com/sports/2017/09/ravens-vs-steelers-fridaygame-status-3-2701521.html,0
https://www.nytimes.com/2017/10/05/technology/personaltech/upgrading-to-a-modern-mac.html?rref=collection%2Fsectioncollection%2Fpersonaltech,1
http://beforeitsnews.com/sports/2017/10/newton-laughs-at-female-reporter-after-asking-a-question-about-wr-routes-2701973.html,0
http://beforeitsnews.com/u-s-politics/2017/09/las-vegas-police-deny-nfls-michael-bennett-was-racially-profiled-as-video-rebuts-players-claims-2537055.html,0
http://www.bbc.com/sport/football/41503064,1
http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html,0
https://www.reuters.com/article/us-iran-nuclear-usa-irgc/iran-has-all-options-on-table-if-u-s-blacklists-revolutionary-guards-idUSKBN1CF0R0,1
http://beforeitsnews.com/u-s-politics/2017/09/pumpkin-spiced-white-hot-chocolate-2537063.html,0
https://www.activistpost.com/2017/09/duping-americans-wasting-taxpayers-money.html,0
http://beforeitsnews.com/u-s-politics/2017/10/nibiru-final-warning-just-how-long-does-earth-have-left-before-planet-x-doom-2537632.html,0
http://dailybuzzlive.com/2000-simpsons-predicted-donald-trump-presidency/,0
http://beforeitsnews.com/u-s-politics/2017/10/are-dems-late-night-sock-puppets-a-sign-that-the-fairness-doctrine-should-be-restored-2537562.html,0
http://www.bbc.com/sport/cricket/41590315,1
http://beforeitsnews.com/opinion-conservative/2017/10/very-violent-reversal-before-end-of-2017-n-korea-thinks-us-is-bluffing-james-rickards-greg-hunter-video-3327266.html,0
https://www.activistpost.com/2017/09/new-documents-show-pentagon-is-shipping-billions-worth-of-weapons-to-terrorists-in-syria-trying-to-cover-its-tracks.html,0
http://dailybuzzlive.com/mom-puts-glasses-baby-watch-face-sees-dad-first-time/,0
http://beforeitsnews.com/alternative/2017/10/bizarre-things-that-just-dont-make-sense-about-the-las-vegas-mass-shooting-false-flag-event-3558692.html,0
https://www.nytimes.com/2017/10/06/arts/television/dynasty-reboot-cw.html?rref=collection%2Fsectioncollection%2Farts,1
https://www.nytimes.com/2017/10/10/business/media/disney-hillary-clinton-and-the-obamas-condemn-weinstein.html?rref=collection%2Fsectioncollection%2Fpolitics,1
https://www.nytimes.com/2017/10/11/arts/macarthur-fellows-winners.html?rref=collection%2Fsectioncollection%2Farts,1
http://www.bbc.com/sport/golf/41549025,1
http://beforeitsnews.com/sports/2017/10/lawrence-thomas-officially-makes-switch-to-fullback-2701946.html,0
http://www.cnn.com/videos/us/2017/10/05/cnn-heroes-patel-extra.cnn,1
http://beforeitsnews.com/u-s-politics/2017/10/las-vegas-shooting-makes-country-guitarist-change-his-mind-on-guns-2537201.html,0
https://www.reuters.com/article/us-netflix-canada/netflix-fends-off-criticism-over-canada-investment-idUSKBN1CF18Z,1
http://www.disclose.tv/news/huge_triangle_shadow_in_the_sky_in_louisiana/140427,0
https://www.nytimes.com/2017/10/11/world/africa/kenya-election-kenyatta-odinga.html?rref=collection%2Fsectioncollection%2Fworld,1
http://beforeitsnews.com/entertainment/2017/09/some-tips-for-selecting-the-best-flower-bouquet-online-2670516.html,0
http://www.cnn.com/2017/10/09/asia/rohingya-myanmar-bangladesh/index.html,1
http://www.cnn.com/videos/entertainment/2017/10/08/nelly-arrested-suspicion-of-rape-hln-wxp.hln/video/playlists/cant-miss/,1
https://www.reuters.com/article/us-science-humans/happy-350000th-birthday-study-pushes-back-homo-sapiens-origins-idUSKCN1C32XU,1
http://beforeitsnews.com/sports/2017/09/kids-fitness-get-the-kids-off-the-couch-have-some-fun-2701071.html,0
https://www.reuters.com/article/us-abertis-m-a-atlantia-eu-exclusive/exclusive-eu-regulators-to-approve-atlantia-abertis-deal-sources-idUSKBN1CF17Z,1
http://abcnews.go.com/International/wireStory/france-confirmed-links-marseille-attacker-50273253,1
http://www.disclose.tv/news/north_koreas_other_threat_why_emp_becomes_an_extinction_level_event/140397,0
http://beforeitsnews.com/u-s-politics/2017/10/where-is-president-trumps-sense-of-compassion-2537449.html,0
https://www.activistpost.com/2017/09/new-documents-show-pentagon-is-shipping-billions-worth-of-weapons-to-terrorists-in-syria-trying-to-cover-its-tracks.html,0
http://beforeitsnews.com/u-s-politics/2017/10/jimmy-kimmel-weeps-as-he-talks-about-shooting-in-his-hometown-2537202.html,0
https://www.nytimes.com/2017/10/11/movies/wonder-woman-professor-marston-angela-robinson.html?rref=collection%2Fsectioncollection%2Farts,1
http://dailybuzzlive.com/mom-fights-back-home-invaders-detroits-west-side/,0
http://beforeitsnews.com/sports/2017/10/gatekeeper-invades-the-312-podcastto-preview-the-blackhawks-season-2701850.html,0
http://www.cnn.com/2017/10/03/entertainment/dancing-with-the-stars-hollywood-las-vegas-shooting/index.html,1
https://www.activistpost.com/2017/10/can-hacked-world-around.html,0
http://beforeitsnews.com/sports/2017/10/105-trs-pnc-park-bucs-win-in-71-79-lose-four-playoffs-dang-reds-tracy-fired-2702005.html,0
https://www.reuters.com/article/us-storm-nate-insurance/u-s-insured-wind-storm-surge-loss-from-hurricane-nate-around-500-million-kcc-idUSKBN1CE1DE,1
http://www.bbc.com/news/blogs-trending-41584227,1
https://www.nytimes.com/2017/10/10/movies/rose-mcgowan-ben-affleck-matt-damon-weinstein.html?rref=collection%2Fsectioncollection%2Farts,1
https://www.reuters.com/article/us-mexico-peso/mexico-warns-u-s-against-protectionist-war-peso-weakens-idUSKBN1CB06M,1
http://www.bbc.com/news/entertainment-arts-41558556,1
http://beforeitsnews.com/entertainment/2017/09/broken2th-and-crystal-sun-release-castaliah-2670555.html,0
https://www.activistpost.com/2017/10/audio-released-hotel-worker-warning-shooter-vegas-massacre.html,0
http://beforeitsnews.com/sports/2017/10/a-look-at-the-thursday-night-football-games-2702039.html,0
http://www.bbc.com/news/world-australia-41521791,1
http://dailybuzzlive.com/women-absorb-retain-dna-every-man-sex/,0
https://www.reuters.com/article/us-usa-puertorico-congress/as-us-house-weighs-36-5-billion-disaster-relief-trump-slams-puerto-rico-idUSKBN1CH1A7,1
https://www.reuters.com/article/us-hitachi-kokusai-m-a-elliott/elliott-again-ups-hitachi-kokusai-stake-kkr-raises-offer-price-idUSKBN1CH08M,1
http://beforeitsnews.com/sports/2017/09/cowboys-wr-dez-bryant-team-done-with-anthem-demonstations-2701525.html,0
http://beforeitsnews.com/sports/2017/09/fsu-opponent-preview-wake-forest-2701384.html,0
http://www.disclose.tv/news/ancient_papyrus_scroll_reveals_how_the_egyptian_pyramids_were_built/140374,0
http://www.cnn.com/videos/cnnmoney/2017/10/10/weinstein-fallon-kimmel-oliver-colbert-meyers-cws-orig.cnn,1
http://www.cnn.com/travel/article/travel-tips-from-the-experts/index.html,1
https://www.nytimes.com/2017/10/11/business/economy/federal-reserve-minutes.html?rref=collection%2Fsectioncollection%2Fpolitics,1
http://www.cnn.com/2017/10/02/health/nobel-medicine-prize-circadian-rhythm/index.html,1
http://beforeitsnews.com/sports/2017/10/2017-nlds-will-max-scherzer-miss-game-1-2701754.html,0
https://www.nytimes.com/2017/10/07/us/politics/trump-association-health-plans.html?rref=collection%2Fsectioncollection%2Fpolitics,1
http://beforeitsnews.com/scandals/2017/09/the-shocking-carol-woods-coverup-police-alter-records-archive-11-sept-2017-2437313.html,0
https://www.reuters.com/article/us-baseball-mlb-playoffs/highlights-of-sundays-mlb-playoff-games-idUSKBN1CE09Y,1
https://www.reuters.com/article/us-france-monalisa-sketch/is-16th-century-charcoal-sketch-a-naked-mona-lisa-idUSKCN1C42LD,1
http://beforeitsnews.com/sports/2017/10/tailgate-jaguars-vs-jets-2701814.html,0
http://www.cnn.com/2017/10/05/us/las-vegas-shooting-jonathan-smith-tom-mcgrath-hero-intv/index.html,1
http://beforeitsnews.com/sports/2017/09/2017-get-em-or-dont-sweat-em-week-4-2701063.html,0
http://www.bbc.com/sport/cricket/41566019,1
https://www.activistpost.com/2017/09/trump-admin-congress-renew-fisa.html,0
http://beforeitsnews.com/u-s-politics/2017/09/john-elway-says-that-its-time-to-take-the-politics-out-of-football-2536909.html,0
http://www.cnn.com/2017/10/05/opinions/theresa-may-has-to-go-mcternan-opinion/index.html,1
http://beforeitsnews.com/u-s-politics/2017/10/employers-can-now-refuse-to-pay-for-birth-control-thanks-to-trump-2537484.html,0
http://beforeitsnews.com/u-s-politics/2017/09/teacher-told-students-they-were-too-dark-skinned-to-play-lincoln-2536920.html,0
http://www.disclose.tv/news/strange_object_spotted_over_newfoundland_canada/140381,0
http://www.cnn.com/2017/10/10/politics/priorities-tax-reform-tv-ad/index.html,1
http://beforeitsnews.com/entertainment/2017/09/secrets-of-the-super-elements-2670573.html,0
