url,label,idx
https://www.washingtonpost.com/news/worldviews/wp/2016/09/19/france-bans-plastic-plates-and-cutlery/?noredirect=on,1,0
https://www.politico.eu/article/un-to-resume-syria-aid-deliveries/?cmpid=sf,1,1
https://www.politico.eu/article/russias-election-free-sausages-and-fraud-allegations-parliament-vote/?cmpid=sf,1,2
https://www.politico.eu/article/rome-to-withdraw-the-2024-olympics-bid-report/?cmpid=sf,1,3
https://www.politico.eu/article/refugee-children-education-europe-volunteers-greece-migrant-camp/?cmpid=sf,1,4
https://www.politico.eu/article/president-of-the-philippines-to-eu-swearing-language-killings-drugs/?cmpid=sf,1,5
https://www.politico.eu/article/nato-chief-counterattacks-against-donald-trump-jens-stoltenberg/?cmpid=sf,1,6
https://www.politico.eu/article/iceland-considers-suing-iceland-supermarket-chain-britain/?cmpid=sf,1,7
https://www.politico.eu/article/hillary-clinton-would-break-from-barack-obama-us-foreign-policy-china/?cmpid=sf,1,8
https://www.politico.eu/article/hate-crime-threatens-peace-in-eastern-germany-report/?cmpid=sf,1,9
https://www.politico.eu/article/donald-trump-ancestry-forefathers-kallstadt/?cmpid=sf,1,10
https://www.politico.eu/article/donald-trump-ancestry-forefathers-kallstadt/?cmpid=sf,1,11
https://www.politico.com/tipsheets/playbook/2016/09/what-hillary-will-say-in-orlando-trump-gives-ukraine-the-cold-shoulder-megyn-kelly-producing-new-hamby-conroy-show-playbook-food-truck-this-morning-cocktails-with-john-lewis-tonight-216425?cmpid=sf,1,12
https://www.politico.com/tipsheets/playbook/2016/09/state-of-emergency-in-charlotte-what-the-hill-wants-to-know-doris-kearns-goodwins-ultimate-obama-exit-interview-bday-campaign-carl-cameron-216449?cmpid=sf,1,13
https://www.politico.com/tipsheets/playbook/2016/09/race-tied-on-debate-day-co-and-pa-are-tight-clinton-hosting-more-than-1-200-watch-parties-the-playbook-interview-stephanie-schriock-bday-dave-weigel-216499?cmpid=sf,1,14
https://www.politico.com/tipsheets/playbook/2016/09/inside-the-govt-shutdown-fight-new-clinton-video-mirrors-the-playbook-interview-steve-hilton-bday-mike-schmidt-216473?cmpid=sf,1,15
https://www.politico.com/tipsheets/playbook/2016/09/government-funding-battle-likely-to-slip-to-next-week-trump-talks-debate-strategy-with-oreilly-the-playbook-food-truck-mook-memo-how-well-win-216401?cmpid=sf,1,16
https://www.politico.com/tipsheets/playbook/2016/09/behind-the-scenes-of-the-first-debate-who-was-talking-to-who-photos-narrative-clinton-wins-giuliani-id-skip-next-debates-if-i-were-trump-bday-juleanna-glover-216525?cmpid=sf,1,17
https://www.politico.com/tipsheets/playbook/2016/09/50-days-until-election-day-pipe-bomb-found-in-nyc-suburb-in-new-jersey-trump-cashes-in-with-small-donors-hillary-up-one-in-florida-216377?cmpid=sf,1,18
https://www.politico.com/story/2016/09/zika-funding-deal-congress-228366?cmpid=sf,1,19
https://www.politico.com/story/2016/09/yahoo-hackers-users-data-228538?cmpid=sf,1,20
https://www.politico.com/story/2016/09/will-obama-watch-the-first-debate-228681?cmpid=sf,1,21
https://www.politico.com/story/2016/09/white-house-issues-cr-veto-threat-228587?cmpid=sf,1,22
https://www.politico.com/story/2016/09/where-will-ahmad-rahami-be-prosecuted-228460?cmpid=sf,1,23
https://www.politico.com/story/2016/09/what-was-trump-going-to-say-to-clinton-first-debate-228744?cmpid=sf,1,24
https://www.politico.com/story/2016/09/what-trump-clinton-said-when-they-were-asked-about-age-228530?cmpid=sf,1,25
https://www.politico.com/story/2016/09/west-wing-cast-hillary-clinton-228485?cmpid=sf,1,26
https://www.politico.com/story/2016/09/west-wing-cast-hillary-clinton-228485?cmpid=sf,1,27
https://www.politico.com/story/2016/09/wall-street-hillary-clinton-228808?cmpid=sf,1,28
